search_term,ol_key,title,author,first_publish_year,publisher,language,subject,isbn,cover_i,description
graphic novel,/works/OL24244816W,Allergic,"Megan Wagner Lloyd, Michelle Mee Nutter",2021.0,,eng,,,10724638.0,"At home, Maggie is the odd one out. Her parents are preoccupied with getting ready for a new baby, and her younger brothers are twins and always in their own world. Maggie loves animals and thinks a new puppy to call her own is the answer, but when she goes to select one on her birthday, she breaks out in hives and rashes. She's severely allergic to anything with fur!

Can Maggie outsmart her allergies and find the perfect pet?"
graphic novel,/works/OL24793569W,The Alchemist Graphic Novel,Paulo Coelho,2010.0,,eng,,,11556106.0,
graphic novel,/works/OL15902631W,The Kite Runner--the graphic novel,Khaled Hosseini,2011.0,,"eng, ara",,,8063795.0,"""The spellbinding story of the unlikely and inseparable friendship between two boys caught in the tragic sweep of history-- from the final days of Afghanistan's monarchy throught the horrific rule of the Taliban""-- book flap."
graphic novel,/works/OL16793507W,Drama,Raina Telgemeier,2012.0,,"spa, fre, eng",,,12360868.0,"Callie loves theater. And while she would totally try out for her middle school's production of Moon over Mississippi, she can't really sing. Instead she's the set designer for the drama department's stage crew, and this year she's determined to create a set worthy of Broadway on a middle-school budget. But how can she, when she doesn't know much about carpentry, ticket sales are down, and the crew members are having trouble working together? Not to mention the onstage AND offstage drama that occurs once the actors are chosen. And when two cute brothers enter the picture, things get even crazier!"
graphic novel,/works/OL28062430W,Moon Rising,Tui T. Sutherland,2022.0,,eng,,,15099568.0,
graphic novel,/works/OL15445307W,The lightning thief,"Robert Venditti, Rick Riordan",2005.0,,"pol, eng, spa, tur, ita",,,13027680.0,"After learning that he is the son of a mortal woman and Poseidon, god of the sea, twelve-year-old Percy is sent to a summer camp for demigods like himself, and joins his new friends on a quest to prevent a war between the gods."
graphic novel,/works/OL17081974W,The Crossover,Kwame Alexander,2014.0,,"spa, eng",,,7336870.0,"""A bolt of lightning on my kicks, the court is sizzling, my sweat is drizzling. Stop all that quivering, cuz tonight I'm delivering,"" raps basketball phenom Josh Bell. Thanks to his dad, he and his twin brother, Jordan, are kings on the court, with crossovers that make even the toughest ballers cry. But Josh has more than hoops in his blood. He's got a river of rhymes flowing through him -- a sick flow that helps him find his rhythm when everything's on the line. As their winning season unfolds, things begin to change. When Jordan meets the new girl in school, the twins' tight-knit bond unravels. In this heartfelt novel, basketball and brotherhood intertwine to show Josh and Jordan that life doesn't come with a playbook, and, sometimes, it's not about winning. - Jacket flap."
graphic novel,/works/OL21354339W,The Handmaid's Tale [Graphic Novel],Renee Nault,2019.0,,"spa, eng",,,14339099.0,"In Margaret Atwood’s dystopian future, environmental disasters and declining birthrates have led to a Second American Civil War. The result is the rise of the Republic of Gilead, a totalitarian regime that enforces rigid social roles and enslaves the few remaining fertile women. Offred is one of these, a Handmaid bound to produce children for one of Gilead’s commanders. Deprived of her husband, her child, her freedom, and even her own name, Offred clings to her memories and her will to survive."
graphic novel,/works/OL17854075W,Speak. The Graphic Novel,Laurie Halse Anderson,2018.0,,"eng, spa, ita",,,8155119.0,"Speak up for yourself―we want to know what you have to say."" From the first moment of her freshman year at Merryweather High, Melinda knows this is a big fat lie, part of the nonsense of high school. She is friendless―an outcast―because she busted an end-of-summer party by calling the cops, so now nobody will talk to her, let alone listen to her. Through her work on an art project, she is finally able to face what really happened that night: She was raped by an upperclassman, a guy who still attends Merryweather and is still a threat to her."
graphic novel,/works/OL2096536W,Watership Down,Richard Adams,1972.0,,"heb, kor, chi, rus, ger",,,6450196.0,"*Watership Down* is the compelling tale of a group of wild rabbits struggling to hold onto their place in the world—soon to be a BBC and Netflix animated miniseries starring James McAvoy, Nicholas Hoult, and Oscar and Grammy award-winning Sir Ben Kingsley.

A phenomenal worldwide bestseller for more than forty years, Richard Adams's *Watership Down* is a timeless classic and one of the most beloved novels of all time. Set in England's Downs, a once idyllic rural landscape, this stirring tale of adventure, courage and survival follows a band of very special creatures on their flight from the intrusion of man and the certain destruction of their home. Led by a stouthearted pair of brothers, they journey forth from their native Sandleford Warren through the harrowing trials posed by predators and adversaries, to a mysterious promised land and a more perfect society."
