title,author,year_published,subjects,edition_count,open_library_key,queried_author
Le PROBLÈME NATIONAL KAMERUNAIS,Achille Mbembe,1984.0,Politics and government | Nationalism | National liberation movements,1,/works/OL31757685W,Achille Mbembe
Les jeunes et l'ordre politique en Afrique noire,Achille Mbembe,1985.0,Youth | Political activity,1,/works/OL2537390W,Achille Mbembe
Les JEUNES ET L'ORDRE POLITIQUE EN AFRIQUE NOIRE,Achille Mbembe,1985.0,Youth | Political activity,1,/works/OL31741886W,Achille Mbembe
Afriques indociles,Achille Mbembe,1988.0,Afrique | Religion et État | Christianisme | Christianity and politics | Christianity | Politics and government,1,/works/OL9171632W,Achille Mbembe
"La naissance du maquis dans le Sud-Cameroun, 1920-1960",Achille Mbembe,1996.0,History | Insurgency | Politics and government | Union des populations du Cameroun | Autonomy and independence movements,2,/works/OL2537389W,Achille Mbembe
Du gouvernement privé indirect,Achille Mbembe,1999.0,Politics and government | Privatization,1,/works/OL2537388W,Achille Mbembe
De la postcolonie,Achille Mbembe,2000.0,Politics and government | Social conditions | Postcolonialism | Power (Social sciences) | Subjectivity | Entwicklung | Subsaharan Africa | State | African identity | Postkolonialismus,9,/works/OL2537387W,Achille Mbembe
On private indirect government,Achille Mbembe,2000.0,Politics and government | Privatization,1,/works/OL2537391W,Achille Mbembe
Globalization,"Arjun Appadurai, Achille Mbembe, Philippe Rekacewicz, Andreas Huyssen, Boubacar Touré Mandémory",2001.0,Globalization | International relations,2,/works/OL25363313W,Achille Mbembe
On Private Indirect Government,Achille Mbembe,2002.0,"Africa, sub-saharan, politics and government | Privatization",1,/works/OL9171634W,Achille Mbembe
Keywords,Achille Mbembe,2004.0,Cross-cultural studies | Experience,2,/works/OL18391544W,Achille Mbembe
Sortir de la grande nuit,Achille Mbembe,2010.0,Postcolonialism | Politics and government | Social conditions,2,/works/OL22686671W,Achille Mbembe
Necropolítica,"Achille Mbembe, Elisabeth Falomir Archambault",2011.0,,1,/works/OL24325916W,Achille Mbembe
Frantz Fanon par les textes de l'époque,Achille Mbembe,2012.0,,1,/works/OL23231839W,Achille Mbembe
