title,author,year_published,edition_count,open_library_key,queried_author,description
On the Postcolony,Achille Mbembe,2001.0,17,/book/show/149757.On_the_Postcolony,Achille Mbembe,"Achille Mbembe is one of the most brilliant theorists of postcolonial studies writing today. In On the Postcolony he profoundly renews our understanding of power and subjectivity in Africa. In a series of provocative essays, Mbembe contests diehard Africanist and nativist perspectives as well as some of the key assumptions of postcolonial theory. This thought-provoking and groundbreaking collection of essays—his first book to be published in English—develops and extends debates first ignited by his well-known 1992 article ""Provisional Notes on the Postcolony,"" in which he developed his notion of the ""banality of power"" in contemporary Africa. Mbembe reinterprets the meanings of death, utopia, and the divine libido as part of the new theoretical perspectives he offers on the constitution of power. He works with the complex registers of bodily subjectivity — violence, wonder, and laughter — to profoundly contest categories of oppression and resistance, autonomy and subjection, and state and civil society that marked the social theory of the late twentieth century. This provocative book will surely attract attention with its signal contribution to the rich interdisciplinary arena of scholarship on colonial and postcolonial discourse, history, anthropology, philosophy, political science, psychoanalysis, and literary criticism."
Johannesburg: The Elusive Metropolis (Volume 16),Sarah Nuttall,2004.0,5,/book/show/327816.Johannesburg,Achille Mbembe,"This issue of Public Culture attempts to overturn perceptions that frame Africa as an object apart from the rest of the world. By placing the city of Johannesburg—the preeminent metropolis of the African continent and a city facing a complicated legacy of racial strife and wealth accumulation—at the heart of new critical urban theory, The Elusive Metropolis broadens discussions of modernity, cosmopolitanism, and urban renewal to include Africa. The issue brings Johannesburg into direct dialogue with other world cities, creating a space for the interrogation and investigation of the metropolis in a properly global sense. Contributors to this issue—a mix of scholars, urban planners, and artists, many of whom hail from South Africa—reveal Johannesburg to be a polycentric and international city that has developed its own cosmopolitan culture. In a detailed study of three streets in the modern precinct of Melrose Arch, one essay shows how the thoroughly commodified and marketed Johannesburg cityscape has shaped the cultural sensitivities, aesthetics, and urban subjectivities of its inhabitants, at times even overriding the historical memory of apartheid. Another essay, focusing on the emergence of a new urban culture, examines how the city itself becomes a crucial site for the remixing and reassembling of racial identities. By tracking the movement of people with AIDS to various locations in the city to seek relief and treatment, another essay reveals an urban geography very different from what is seen from the highways. Finally, through interviews and commentaries, journalists, artists, and architects of Johannesburg offer reflections on the geography and shifting culture of the city and its townships, on the complicated relationship between Johannesburg and other African cities, and on the search for an architectural style that adequately expresses the complexity of this cosmopolitan city. Contributors. Lindsay Bremner, Nsizwa Dlamini, Mark Gevisser, Grace Khunou, Frédéric Le Marcis, John Matshikiza, Achille Mbembe, Sarah Nuttall, Rodney Place, AbdouMaliq Simone, Michael Watts"
The Earthly Community: Reflections on the Last Utopia,Achille Mbembe,2023.0,15,/book/show/211097016-the-earthly-community,Achille Mbembe,"In The Earthly Community: Reflections on the Last Utopia Achille Mbembe explores what remains of the human subject in an age when the instrumentality of reason is carried out by and through information machines and technologies of calculation. Mbembe discusses who will define the threshold or set the boundary that distinguishes between the calculable and the incalculable, between that which is deemed worthy and that which is deemed worthless, and therefore dispensable. He asks whether we can turn these new instruments of calculation and power into instruments of liberation. In other words, will we be able to invent different modes of measuring that might open up the possibility of a different aesthetics, a different politics of inhabiting the Earth, of repairing and sharing the planet? Achille Mbembe is Research Professor in History and Politics at the Wits Institute for Social and Economy Research, University of the Witwatersrand, Johannesburg. He is the author of a.o. Critique of Black Reason (2016), Necropolitics (2019) and Brutalisme."
Critique of Black Reason,Achille Mbembe,,25,/book/show/30757980-critique-of-black-reason,Achille Mbembe,"In Critique of Black Reason eminent critic Achille Mbembe offers a capacious genealogy of the category of Blackness—from the Atlantic slave trade to the present—to critically reevaluate history, racism, and the future of humanity. Mbembe teases out the intellectual consequences of the reality that Europe is no longer the world's center of gravity while mapping the relations among colonialism, slavery, and contemporary financial and extractive capital. Tracing the conjunction of Blackness with the biological fiction of race, he theorizes Black reason as the collection of discourses and practices that equated Blackness with the nonhuman in order to uphold forms of oppression. Mbembe powerfully argues that this equation of Blackness with the nonhuman will serve as the template for all new forms of exclusion. With Critique of Black Reason , Mbembe offers nothing less than a map of the world as it has been constituted through colonialism and racial thinking while providing the first glimpses of a more just future."
Out of the Dark Night: Essays on Decolonization,Achille Mbembe,,17,/book/show/44055182-out-of-the-dark-night,Achille Mbembe,"Originally published in French as: Sortir de la grande nuit, copyright � 2010, Editions La D�ecouverte."
The Earthly Community,Achille Mbembe,,15,/book/show/105171461-the-earthly-community,Achille Mbembe,"Historian and political theorist Achille Mbembe explores what remains of the human subject in an age when the instrumentality of reason is carried out by and through information machines and technologies of calculation. In ‘The Earthly Community’ he discusses who will define the threshold or set the boundary that distinguishes between the calculable and the incalculable, between that which is deemed worthy and that which is deemed worthless, and therefore dispensable. Are we capable of inventing different modes of measuring that might open up the possibility of a different aesthetics, an alternative politics of inhabiting the Earth, of repairing and sharing the planet?"
Study Guide: Necropolitics by Achille Mbembe,Supersummary,,2,/book/show/220887323-study-guide,Achille Mbembe,"Analyzing literature can be hard — we make it easy! This in-depth study guide offers summaries & analyses for all 6 chapters of Necropolitics by Achille Mbembe. Get more out of your reading experience and build confidence with study guides proven raise students’ grades, save teachers time, and spark dynamic book discussions. SuperSummary Study Guides are written by experienced educators and literary scholars with advanced degrees in relevant fields. Here's what's Chapter-by-chapter summaries — Refresh your memory of key events and big ideas Comprehensive literary analysis — Unlock underlying meaning Examination of key figures in the text — Follow character arcs from tragedy to triumph Discussion of themes, symbols & motifs — Connect the dots among recurring ideas Important quotes with explanations — Appreciate the meaning behind the words Essay & discussion topics — Discover writing prompts and conversation starters Who uses SuperSummary Study Boost critical thinking skills — and grade averages — while decreasing stress Save hours of prep time and create engaging lessons and assignments Book club Gain confidence in discussing literary analysis and lead more thoughtful book chats All Better understand (and enjoy) the books you read Why customers love SuperSummary Study 96% of students report earning a higher grade thanks to our study guides 98% of educators tell us that SuperSummary study guides save them time 99% of book club members credit our guides with improving club discussions 94% of readers say they find everything they need in SuperSummary study guides What SuperSummary customers “I was taking a very fast paced class. I had to read 5 novels within 5 weeks so the chapter summaries really helped. I ended up getting an A-B on every paper I wrote! I recommend SuperSummary to all my college friends.” — Annabell C., College Student “I use SuperSummary to supplement my own lesson planning designs. I particularly like the discussion questions/essay questions offered, as well as the summary of events and then interpretation/meaning of a section.” — Adrienne B., Middle School Teacher “I started a book club and wanted some reference material. SuperSummary helped me lead a productive discussion , get ideas for questions and gain a deeper understanding of the material.” — Laura D., Book Club Member “ I needed a quick clarification of my own understanding of a novel before discussing it with my students. SuperSummary guides are easy to maneuver — everything is labeled and well-organized. — Stella I."
African Futures by Achille Mbembe (2016-09-27),Lien Heidenreich-Seleme,,2,/book/show/165682476-african-futures-by-achille-mbembe,Achille Mbembe,"In this review, African artists, scholars and cultural producers share their positions on the future of literature, film, performance, the visual arts, music and science. Artists include Keziah Jones, Spoek Mathambo, Just A Band, Gato Preto, Kapwani Kiwanga, Nnedi Okorafor, Lauren Beukes and Faustin Linyekula."
Decolonizing Knowledge and the Question of the Archive,Achille Mbembe,,1,/book/show/40788753-decolonizing-knowledge-and-the-question-of-the-archive,Achille Mbembe,"In his lecture “Decolonizing Knowledge and the Question of the Archive”, Achille Mbembe, gives insight into his understanding of the concept of “decolonization” with respect to higher education and the universities in post-Apartheid South Africa. This document was deliberately written as a spoken text. It forms the basis of a series of public lectures given at the Wits Institute for Social and Economic Research (WISER), University of the Witwatersrand (Johannesburg), at conversations with the Rhodes Must Fall Movement at the University of Cape Town and the Indexing the Human Project, Department of Sociology and Anthropology at the University of Stellenbosch. Mbembe convincingly sets forth the necessity of a complete political, economic, social and intellectual change of higher education elaborating on the notions of “De-Westernization” and “Africanization” with reference to the thought of Frantz Fanon and Ngugi wa Thiong’o promoting the idea of a non-racial “pluriversity” as a common good. But for Mbembe it is crucial to expand this necessity for change and “an entirely new struggle” beyond the boundaries of the South-African education system towards Africa herself, the whole world, and to humanity as such and, thus, to challenge the fundaments of neo-liberalism and financialized economy, national-chauvinism, anthropocentrism and humanism, technology and science, and new forms of racism, because “true decolonization necessarily centers on ‘the destiny of humankind’ (Dubois, 1919) and not of one race, color or ethnos” (Mbembe). Living in the ‘Anthropocene’ the need for a whole new perspective on humanity and its relation to the non-human world becomes pressing when we want to prevent our own extinction."
On Private Indirect Government,Achille Mbembe,,4,/book/show/1103326.On_Private_Indirect_Government,Achille Mbembe,"Two hypothesis form the basis of this study. First, that development in African countries follows many models, on many time-scales; and secondly that private indirect government is taking the place of the state in controlling individual conduct. The author concludes that a new form of the organisation of power is emerging based on the control of the means of coercion - in effect, privatisation of public violence."
