search_term,ol_key,title,author,first_publish_year,publisher,language,subject,isbn,cover_i
graphic novel,/works/OL24244816W,Allergic,"Megan Wagner Lloyd, Michelle Mee Nutter",2021.0,,eng,,,10724638.0
graphic novel,/works/OL24793569W,The Alchemist Graphic Novel,Paulo Coelho,2010.0,,eng,,,11556106.0
graphic novel,/works/OL15902631W,The Kite Runner--the graphic novel,Khaled Hosseini,2011.0,,"eng, ara",,,8063795.0
graphic novel,/works/OL16793507W,Drama,Raina Telgemeier,2012.0,,"spa, fre, eng",,,12360868.0
graphic novel,/works/OL28062430W,Moon Rising,Tui T. Sutherland,2022.0,,eng,,,15099568.0
graphic novel,/works/OL15445307W,The lightning thief,"Robert Venditti, Rick Riordan",2005.0,,"pol, eng, spa, tur, ita",,,13027680.0
graphic novel,/works/OL17081974W,The Crossover,Kwame Alexander,2014.0,,"spa, eng",,,7336870.0
graphic novel,/works/OL21354339W,The Handmaid's Tale [Graphic Novel],Renee Nault,2019.0,,"spa, eng",,,14339099.0
graphic novel,/works/OL17854075W,Speak. The Graphic Novel,Laurie Halse Anderson,2018.0,,"eng, spa, ita",,,8155119.0
graphic novel,/works/OL2096536W,Watership Down,Richard Adams,1972.0,,"heb, kor, chi, rus, ger",,,6450196.0
graphic novel,/works/OL13752343W,Coraline,"P. Craig Russell, Neil Gaiman",2008.0,,eng,,,7277321.0
graphic novel,/works/OL19728189W,The dragonet prophecy [graphic novel],Barry Deutsch,2018.0,,eng,,,15121740.0
graphic novel,/works/OL19736697W,Eagle Strike (Alex Rider Graphic Novel),"Anthony Horowitz, Antony Johnston, Kanako Damerum, Yuzuru Takasaki",2003.0,,eng,,,9347465.0
graphic novel,/works/OL8117947W,Kristy's Great Idea (graphic novel),Raina Telgemeier,2006.0,,eng,,,279181.0
graphic novel,/works/OL20523543W,The hidden kingdom [graphic novel],Barry Deutsch,2000.0,,eng,,,9174201.0
graphic novel,/works/OL19360520W,The Lost Hero Graphic Novel,Robert Venditti,2014.0,,eng,,,8476152.0
graphic novel,/works/OL5720027W,New Moon,Stephenie Meyer,2006.0,,"eng, swe, cze, fre, pol",,,12643406.0
graphic novel,/works/OL16591739W,The Red Pyramid,Orpheus Collar,2012.0,,"eng, spa",,,7386546.0
graphic novel,/works/OL14952335W,Point Blanc Graphic Novel,"Anthony Horowitz, Antony Johnston",2007.0,,eng,,,2993891.0
graphic novel,/works/OL98288W,Monster,Walter Dean Myers,1999.0,,eng,,,10413044.0
graphic novel,/works/OL5720023W,Twilight,Stephenie Meyer,2005.0,,"eng, ara, fre, tur, pol",,,12641977.0
graphic novel,/works/OL455327W,Lord of the Flies,William Golding,1954.0,,"chi, rus, glg, ita, dut",,,8684447.0
graphic novel,/works/OL19744467W,The Fourth Closet,"Scott Cawthon, Kira Breed-Wrisley",2021.0,,"pol, eng",,,9320331.0
