title,author,year_published,subjects,edition_count,open_library_key,queried_author
La naissance du maquis dans le Sud-Cameroun (Homme et Société : Histoire et géographie),Achille Mbembe,1996.0,,2,/book/show/74573817-la-naissance-du-maquis-dans-le-sud-cameroun-homme-et-soci-t,Achille Mbembe
On the Postcolony,Achille Mbembe,2001.0,,17,/book/show/149757.On_the_Postcolony,Achille Mbembe
Johannesburg: The Elusive Metropolis (Volume 16),Sarah Nuttall,2004.0,,5,/book/show/327816.Johannesburg,Achille Mbembe
"África Insubmissa: Cristianismo, poder e estado na sociedade pós-colonial",Achille Mbembe,2005.0,,2,/book/show/45914660-frica-insubmissa,Achille Mbembe
Je est un autre - Pour une identité-monde,Kebir-Mustapha Ammi,2010.0,,3,/book/show/44436174-je-est-un-autre---pour-une-identit--monde,Achille Mbembe
Necropolitics,Achille Mbembe,2016.0,,24,/book/show/44901216-necropolitics,Achille Mbembe
Politiques de l'inimitié,Achille Mbembe,2016.0,,2,/book/show/30246397-politiques-de-l-inimiti,Achille Mbembe
Brutalisme,Achille Mbembe,2020.0,,18,/book/show/51131710-brutalisme,Achille Mbembe
The Earthly Community: Reflections on the Last Utopia,Achille Mbembe,2023.0,,15,/book/show/211097016-the-earthly-community,Achille Mbembe
Critique of Black Reason,Achille Mbembe,,,4,/book/show/30757980-critique-of-black-reason,Achille Mbembe
Out of the Dark Night: Essays on Decolonization,Achille Mbembe,,,17,/book/show/44055182-out-of-the-dark-night,Achille Mbembe
Study Guide: Necropolitics by Achille Mbembe,SuperSummary,,,2,/book/show/220887323-study-guide,Achille Mbembe
The Earthly Community,Achille Mbembe,,,15,/book/show/105171461-the-earthly-community,Achille Mbembe
ACHILLE MBEMBE : LE DEVENIR-NEGRE DU MONDE,NYENYEZI AYMAR,,,1,/book/show/196265420-achille-mbembe,Achille Mbembe
"Emmanuel Macron, Achille Mbembe et la Françafrique",Benoit Elie Awazi Mbambi Kungua,,,1,/book/show/216479266-emmanuel-macron-achille-mbembe-et-la-fran-afrique,Achille Mbembe
O fardo da raça,Achille Mbembe,,,1,/book/show/43333063-o-fardo-da-ra-a,Achille Mbembe
Beyond the Postcolony: On Achille Mbembe's Planetary Justice and Ethics (Philosophie – Aufklärung – Kritik Book 19),Korassi Téwéché,,,1,/book/show/247192332-beyond-the-postcolony,Achille Mbembe
"Politik zwischen Leben und Tod. Der Begriff der Biopolitik bei Michel Foucault, Giorgio Agamben und Achille Mbembe by Julia Sterzer (2015-01-05)",Unknown Author,,,1,/book/show/200760688-politik-zwischen-leben-und-tod-der-begriff-der-biopolitik-bei-michel-fo,Achille Mbembe
Piliers d'une promotion de la paix chez Jean-Marc Ela et Achille Mbembe,Jean Baptiste Bikena Tonye,,,1,/book/show/216938959-piliers-d-une-promotion-de-la-paix-chez-jean-marc-ela-et-achille-mbembe,Achille Mbembe
On the Postcolony (Studies on the History of Society & Culture) by Achille Mbembe (2001-06-13),Unknown Author,,,1,/book/show/195452355-on-the-postcolony-studies-on-the-history-of-society-culture-by-achil,Achille Mbembe
Achille Mbembe,Oliver Coates,,,3,/book/show/215022924-achille-mbembe,Achille Mbembe
Decolonizing Knowledge and the Question of the Archive,Achille Mbembe,,,1,/book/show/40788753-decolonizing-knowledge-and-the-question-of-the-archive,Achille Mbembe
"Emmanuel Macron, Achille Mbembe et la Françafrique: Une déconstruction théologico-politique",Benoît Awazi Mbambi Kungua,,,1,/book/show/112495744-emmanuel-macron-achille-mbembe-et-la-fran-afrique,Achille Mbembe
African Futures by Achille Mbembe (2016-09-27),Lien Heidenreich-Seleme,,,2,/book/show/165682476-african-futures-by-achille-mbembe,Achille Mbembe
On the Postcolony (Studies on the History of Society and Culture) by Achille Mbembe (2001-11-05),Unknown Author,,,1,/book/show/195334588-on-the-postcolony-studies-on-the-history-of-society-and-culture-by-ach,Achille Mbembe
Écrire l'Afrique-Monde,Achille Mbembe,,,6,/book/show/35623407-crire-l-afrique-monde,Achille Mbembe
Cr?tica de la raz?n negra by Achille Mbembe (1900-01-01),Unknown Author,,,1,/book/show/202222976-cr-tica-de-la-raz-n-negra-by-achille-mbembe,Achille Mbembe
"Achille Mbembe manda a real: Biopoder, necropolítica e corre pra sobreviver (QUEBRADA PENSANTE)",Maure Picat,,,1,/book/show/233791172-achille-mbembe-manda-a-real,Achille Mbembe
On the Postcolony (Studies on the History of Society and Culture) by Achille Mbembe (2001-08-01),Unknown Author,,,1,/book/show/133200647-on-the-postcolony-studies-on-the-history-of-society-and-culture-by-ach,Achille Mbembe
Piliers d'une promotion de la paix chez Jean-Marc Ela et Achille Mbembe: Pour une pastorale des jeunes en faveur de la culture de la paix au Cameroun (Études Africaines),Jean Baptiste Bikena Tonye,,,1,/book/show/96335317-piliers-d-une-promotion-de-la-paix-chez-jean-marc-ela-et-achille-mbembe,Achille Mbembe
Achille Mbembe - Postcolonialisme et management durable (Les Grands Auteurs),Doumagay Donatienne Moskolaï,,,1,/book/show/152584301-achille-mbembe---postcolonialisme-et-management-durable-les-grands-aute,Achille Mbembe
Beyond the Postcolony: On Achille Mbembe’s Planetary Justice and Ethics,Korassi Téwéché,,,1,/book/show/247328667-beyond-the-postcolony,Achille Mbembe
"Zwischen Leben und Tod. Der Begriff der Biopolitik bei Michel Foucault, Giorgio Agamben und Achille Mbembe",Hanna Rittich,,,2,/book/show/91989952-zwischen-leben-und-tod-der-begriff-der-biopolitik-bei-michel-foucault,Achille Mbembe
The Politics of Time: Imagining African Becomings,Achille Mbembe,,,5,/book/show/69696694-the-politics-of-time,Achille Mbembe
Nekropolitik og Afkolonisering af universitetet,Achille Joseph Mbembe,,,1,/book/show/57684077-nekropolitik-og-afkolonisering-af-universitetet,Achille Mbembe
"Poder brutal, resistência visceral",Achille Mbembe,,,1,/book/show/51519767-poder-brutal-resist-ncia-visceral,Achille Mbembe
On Private Indirect Government,Achille Mbembe,,,4,/book/show/1103326.On_Private_Indirect_Government,Achille Mbembe
Necropolítica seguido de Sobre el gobierno privado indirecto,Achille Mbembe,,,1,/book/show/56570804-necropol-tica-seguido-de-sobre-el-gobierno-privado-indirecto,Achille Mbembe
Univerzalno pravo na disanje,Achille Mbembe,,,1,/book/show/60234689-univerzalno-pravo-na-disanje,Achille Mbembe
"Black Panther ou le retournement du signe africain, Revoir Black Panther, en hommage à Chadwick Boseman",MBEMBE Achille,,,1,/book/show/56601757-black-panther-ou-le-retournement-du-signe-africain-revoir-black-panther,Achille Mbembe
Democracia como comunidade de vida,Achille Mbembe,,,1,/book/show/242712866-democracia-como-comunidade-de-vida,Achille Mbembe
Museum of the Revolution,Achille Mbembe,,,1,/book/show/45177883-museum-of-the-revolution,Achille Mbembe
"L'État, le marché et la fragilité",Achille Mbembe,,,1,/book/show/242445625-l-tat-le-march-et-la-fragilit,Achille Mbembe
L'expérience,Achille Mbembe,,,2,/book/show/113155471-l-exp-rience,Achille Mbembe
PISEAGRAMA - VEGETALIDADES,Achille Mbembe,,,1,/book/show/207986478-piseagrama---vegetalidades,Achille Mbembe
Apartheid Israel: The Politics of an Analogy,Sean  Jacobs,,,2,/book/show/25330348-apartheid-israel,Achille Mbembe
Johannesburg: The Elusive Metropolis,Achille Mbembe,,,1,/book/show/89797773-johannesburg,Achille Mbembe
Caixa Pandemia - Rexistir,"Jean Yuk Hui Eduardo Viveiros de Castro Achille Mbembe, Carmem Silva, Antonio Negri, Cristina Ribas",,,1,/book/show/61768945-caixa-pandemia---rexistir,Achille Mbembe
La guerre du Cameroun. L’invention de la Françafrique (1948-1971),Thomas Deltombe,,,8,/book/show/32761158-la-guerre-du-cameroun-l-invention-de-la-fran-afrique,Achille Mbembe
"Decolonizing: The Curriculum, the Museum, and the Mind",Marquard Smith,,,1,/book/show/53959077-decolonizing,Achille Mbembe
Futurity Report,Eric C.H. de Bruyn,,,1,/book/show/55847657-futurity-report,Achille Mbembe
Öteki Olarak Ölmek,Evrim C. İflazoğlu,,,1,/book/show/36485336-teki-olarak-lmek,Achille Mbembe
Beautiful/Ugly: African and Diaspora Aesthetics,Sarah Nuttall,,,5,/book/show/10106489-beautiful-ugly,Achille Mbembe
The End of the World: Contemporary Philosophy and Art,Marcia Sá Cavalcante Schuback,,,2,/book/show/32666828-the-end-of-the-world,Achille Mbembe
Violence and Redemption (Volume 15),Candace Vogler,,,1,/book/show/6382701-violence-and-redemption,Achille Mbembe
Pour un monde en commun: Regards croisés entre l'Afrique et l'Europe,Remy Rioux,,,2,/book/show/63119239-pour-un-monde-en-commun,Achille Mbembe
Frenchness and the African Diaspora: Identity and Uprising in Contemporary France,Charles Tshimanga,,,7,/book/show/6807389-frenchness-and-the-african-diaspora,Achille Mbembe
Postkoloniální myšlení II,Aimé Césaire,,,1,/book/show/59751909-postkoloni-ln-my-len-ii,Achille Mbembe
Ruptures postcoloniales : Les nouveaux visages de la société francaise,Various,,,1,/book/show/12112735-ruptures-postcoloniales,Achille Mbembe
"Under Siege: Four African Cities-Freetown, Johannesburg, Kinshasa, Lagos: Documenta11_Platform4",Victor Adetula,,,1,/book/show/1088626.Under_Siege,Achille Mbembe
Africana: Raccontare il Continente al di là degli stereotipi,Igiaba Scego,,,2,/book/show/60104198-africana,Achille Mbembe
On the Postcolony (Studies on the History of Society and Culture) by Achille Mbembe(1998-12-01),Unknown Author,,,1,/book/show/195084980-on-the-postcolony-studies-on-the-history-of-society-and-culture-by-ach,Achille Mbembe
On the Postcolony (Studies on the History of Society and Culture) by Achille Mbembe(2010-01-01),Unknown Author,,,1,/book/show/195579356-on-the-postcolony-studies-on-the-history-of-society-and-culture-by-ach,Achille Mbembe
Panoramas do Sul: Leituras - Perspectivas para outras geografias do pensamento,Sabrina Moura,,,1,/book/show/55503362-panoramas-do-sul,Achille Mbembe
On the Postcolony (Studies on the History of Society and Culture) by Achille Mbembe(1905-06-23),Unknown Author,,,1,/book/show/209552531-on-the-postcolony-studies-on-the-history-of-society-and-culture-by-ach,Achille Mbembe
Globalization (a Public Culture Book),Arjun Appadurai,,,12,/book/show/20190232-globalization,Achille Mbembe
Flow,Samir S. Patel,,,1,/book/show/5923466-flow,Achille Mbembe
Agora 03-04/2019 Kritisk teori fra sør,Thomas Stølen,,,1,/book/show/53207864-agora-03-04-2019-kritisk-teori-fra-s-r,Achille Mbembe
Le Politique par le bas en Afrique noire: Contributions a une problematique de la democratie,Jean-François Bayart,,,2,/book/show/3903752-le-politique-par-le-bas-en-afrique-noire,Achille Mbembe
Ma foi d'africain,Jean-Marc Ela,,,1,/book/show/62563355-ma-foi-d-africain,Achille Mbembe
Panàfrica. Art i imaginaris polítics per a la construcció d’un planeta negre,Rasheed Araeen,,,1,/book/show/243984386-pan-frica-art-i-imaginaris-pol-tics-per-a-la-construcci-d-un-planeta-n,Achille Mbembe
