title,author,goodreads_url,cover_url,avg_rating,num_ratings,year_published,shelf
"Children of Blood and Bone (Legacy of Orïsha, #1)",Tomi Adeyemi,https://www.goodreads.com/book/show/34728667-children-of-blood-and-bone,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1516127989l/34728667._SX50_.jpg,4.1,253840.0,2018.0,african-fantasy
"The Rage of Dragons (The Burning, #1)",Evan Winter,https://www.goodreads.com/book/show/41952489-the-rage-of-dragons,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553927196l/41952489._SY75_.jpg,4.3,48609.0,2017.0,african-fantasy
"Children of Virtue and Vengeance (Legacy of Orïsha, #2)",Tomi Adeyemi,https://www.goodreads.com/book/show/39122774-children-of-virtue-and-vengeance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1591090724l/39122774._SY75_.jpg,3.89,82425.0,2019.0,african-fantasy
"The Gilded Ones (Deathless, #1)",Namina Forna,https://www.goodreads.com/book/show/40024121-the-gilded-ones,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585578175l/40024121._SY75_.jpg,3.98,56483.0,2020.0,african-fantasy
"Akata Witch (The Nsibidi Scripts, #1)",Nnedi Okorafor,https://www.goodreads.com/book/show/7507944-akata-witch,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347794798l/7507944._SY75_.jpg,4.02,38759.0,2011.0,african-fantasy
"A Song of Wraiths and Ruin (A Song of Wraiths and Ruin, #1)",Roseanne A. Brown,https://www.goodreads.com/book/show/49629448-a-song-of-wraiths-and-ruin,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627444987l/49629448._SY75_.jpg,3.93,20987.0,2020.0,african-fantasy
Daughters of Nri (The Return of the Earth Mother #1),Reni K. Amayo,https://www.goodreads.com/book/show/49094548-daughters-of-nri,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575493077l/49094548._SY75_.jpg,3.95,3226.0,2019.0,african-fantasy
"Black Leopard, Red Wolf (The Dark Star Trilogy, #1)",Marlon James,https://www.goodreads.com/book/show/50608676-black-leopard-red-wolf,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579618622l/50608676._SX50_.jpg,3.45,31163.0,2019.0,african-fantasy
"Raybearer (Raybearer, #1)",Jordan Ifueko,https://www.goodreads.com/book/show/50158128-raybearer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567330635l/50158128._SX50_SY75_.jpg,4.31,32325.0,2020.0,african-fantasy
"Skin of the Sea (Skin of the Sea, #1)",Natasha Bowen,https://www.goodreads.com/book/show/48691825-skin-of-the-sea,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1614089954l/48691825._SY75_.jpg,3.78,16727.0,2021.0,african-fantasy
"Son of the Storm (The Nameless Republic, #1)",Suyi Davies Okungbowa,https://www.goodreads.com/book/show/50718369-son-of-the-storm,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1601953281l/50718369._SY75_.jpg,3.68,2651.0,2021.0,african-fantasy
Who Fears Death (Hardcover),Nnedi Okorafor,https://www.goodreads.com/book/show/7767021-who-fears-death,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348469489l/7767021._SX50_.jpg,3.93,28627.0,2010.0,african-fantasy
"Binti (Binti, #1)",Nnedi Okorafor,https://www.goodreads.com/book/show/25667918-binti,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433804020l/25667918._SY75_.jpg,3.84,81569.0,2015.0,african-fantasy
"Redemptor (Raybearer, #2)",Jordan Ifueko,https://www.goodreads.com/book/show/55624056-redemptor,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1613613920l/55624056._SY75_.jpg,4.22,13209.0,2021.0,african-fantasy
"Descendants of the First (The Return of the Earth Mother, #2)",Reni K. Amayo,https://www.goodreads.com/book/show/54373131-descendants-of-the-first,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1597516794l/54373131._SY75_.jpg,4.0,864.0,2021.0,african-fantasy
"The Lies of the Ajungo (Forever Desert, #1)",Moses Ose Utomi,https://www.goodreads.com/book/show/60784306-the-lies-of-the-ajungo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1652753842l/60784306._SY75_.jpg,4.2,5162.0,2023.0,african-fantasy
"Beasts of Prey (Beasts of Prey, #1)",Ayana Gray,https://www.goodreads.com/book/show/56552953-beasts-of-prey,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1614880270l/56552953._SY75_.jpg,3.94,10376.0,2021.0,african-fantasy
"The Fires of Vengeance (The Burning, #2)",Evan Winter,https://www.goodreads.com/book/show/43174603-the-fires-of-vengeance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586795717l/43174603._SY75_.jpg,4.38,22505.0,2020.0,african-fantasy
The Water Dancer (Hardcover),Ta-Nehisi Coates,https://www.goodreads.com/book/show/43982054-the-water-dancer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549993860l/43982054._SY75_.jpg,4.06,120302.0,2019.0,african-fantasy
The Famished Road (Paperback),Ben Okri,https://www.goodreads.com/book/show/101094.The_Famished_Road,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344396715l/101094._SY75_.jpg,3.73,13700.0,1991.0,african-fantasy
"Akata Warrior (The Nsibidi Scripts, #2)",Nnedi Okorafor,https://www.goodreads.com/book/show/18746776-akata-warrior,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1484628903l/18746776._SX50_.jpg,4.22,14611.0,2017.0,african-fantasy
The Maid and the Crocodile (Hardcover),Jordan Ifueko,https://www.goodreads.com/book/show/207003686-the-maid-and-the-crocodile,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1710265087l/207003686._SX50_.jpg,4.34,3771.0,2024.0,african-fantasy
