title,author,goodreads_url,cover_url,avg_rating,num_ratings,year_published,shelf,description
"Children of Blood and Bone (Legacy of Orïsha, #1)",Tomi Adeyemi,https://www.goodreads.com/book/show/34728667-children-of-blood-and-bone,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1516127989l/34728667._SX50_.jpg,4.1,253840.0,2018.0,african-fantasy,"They killed my mother. They took our magic. They tried to bury us. Now we rise. Zélie Adebola remembers when the soil of Orïsha hummed with magic. Burners ignited flames, Tiders beckoned waves, and Zélie’s Reaper mother summoned forth souls. But everything changed the night magic disappeared. Under the orders of a ruthless king, maji were killed, leaving Zélie without a mother and her people without hope. Now Zélie has one chance to bring back magic and strike against the monarchy. With the help of a rogue princess, Zélie must outwit and outrun the crown prince, who is hell-bent on eradicating magic for good. Danger lurks in Orïsha, where snow leoponaires prowl and vengeful spirits wait in the waters. Yet the greatest danger may be Zélie herself as she struggles to control her powers and her growing feelings for an enemy."
"The Rage of Dragons (The Burning, #1)",Evan Winter,https://www.goodreads.com/book/show/41952489-the-rage-of-dragons,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553927196l/41952489._SY75_.jpg,4.3,48609.0,2017.0,african-fantasy,"The Omehi people have been fighting an unwinnable fight for almost two hundred years. Their society has been built around war and only war. The lucky ones are born gifted. One in every two thousand women has the power to call down dragons. One in every hundred men is able to magically transform himself into a bigger, stronger, faster killing machine. Everyone else is fodder, destined to fight and die in the endless war. Young, gift-less Tau knows all this, but he has a plan of escape. He's going to get himself injured, get out early, and settle down to marriage, children, and land. Only, he doesn't get the chance. Those closest to him are brutally murdered, and his grief swiftly turns to anger. Fixated on revenge, Tau dedicates himself to an unthinkable path. He'll become the greatest swordsman to ever live, a man willing to die a hundred thousand times for the chance to kill the three who betrayed him."
"Children of Virtue and Vengeance (Legacy of Orïsha, #2)",Tomi Adeyemi,https://www.goodreads.com/book/show/39122774-children-of-virtue-and-vengeance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1591090724l/39122774._SY75_.jpg,3.89,82425.0,2019.0,african-fantasy,"After battling the impossible, Zélie and Amari have finally succeeded in bringing magic back to the land of Orïsha. But the ritual was more powerful than they could’ve imagined, reigniting the powers of not only the maji, but of nobles with magic ancestry, too. Now, Zélie struggles to unite the maji in an Orïsha where the enemy is just as powerful as they are. But when the monarchy and military unite to keep control of Orïsha, Zélie must fight to secure Amari's right to the throne and protect the new maji from the monarchy's wrath. With civil war looming on the horizon, Zélie finds herself at a breaking point: she must discover a way to bring the kingdom together or watch as Orïsha tears itself apart."
"The Gilded Ones (Deathless, #1)",Namina Forna,https://www.goodreads.com/book/show/40024121-the-gilded-ones,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585578175l/40024121._SY75_.jpg,3.98,56483.0,2020.0,african-fantasy,"Sixteen-year-old Deka lives in fear and anticipation of the blood ceremony that will determine whether she will become a member of her village. Already different from everyone else because of her unnatural intuition, Deka prays for red blood so she can finally feel like she belongs. But on the day of the ceremony, her blood runs gold, the color of impurity–and Deka knows she will face a consequence worse than death. Then a mysterious woman comes to her with a choice: stay in the village and submit to her fate, or leave to fight for the emperor in an army of girls just like her. They are called alaki--near-immortals with rare gifts. And they are the only ones who can stop the empire's greatest threat. Knowing the dangers that lie ahead yet yearning for acceptance, Deka decides to leave the only life she’s ever known. But as she journeys to the capital to train for the biggest battle of her life, she will discover that the great walled city holds many surprises. Nothing and no one are quite what they seem to be–not even Deka herself."
"Akata Witch (The Nsibidi Scripts, #1)",Nnedi Okorafor,https://www.goodreads.com/book/show/7507944-akata-witch,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347794798l/7507944._SY75_.jpg,4.02,38759.0,2011.0,african-fantasy,"Akata Witch transports the reader to a magical place where nothing is quite as it seems. Born in New York, but living in Aba, Nigeria, twelve-year old Sunny is understandably a little lost. She is albino and thus, incredibly sensitive to the sun. All Sunny wants to do is be able to play football and get through another day of school without being bullied. But once she befriends Orlu and Chichi, Sunny is plunged in to the world of the Leopard People, where your worst defect becomes your greatest asset. Together, Sunny, Orlu, Chichi and Sasha form the youngest ever Oha Coven. Their mission is to track down Black Hat Otokoto, the man responsible for kidnapping and maiming children. Will Sunny be able to overcome the killer with powers stronger than her own, or will the future she saw in the flames become reality?"
"A Song of Wraiths and Ruin (A Song of Wraiths and Ruin, #1)",Roseanne A. Brown,https://www.goodreads.com/book/show/49629448-a-song-of-wraiths-and-ruin,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627444987l/49629448._SY75_.jpg,3.93,20987.0,2020.0,african-fantasy,"For Malik, the Solstasia festival is a chance to escape his war-stricken home and start a new life with his sisters in the prosperous desert city of Ziran. But when a vengeful spirit abducts Malik’s younger sister, Nadia, as payment into the city, Malik strikes a fatal deal—kill Karina, Crown Princess of Ziran, for Nadia’s freedom. But Karina has deadly aspirations of her own. Her mother, the Sultana, has been assassinated; her court threatens mutiny; and Solstasia looms like a knife over her neck. Grief-stricken, Karina decides to resurrect her mother through ancient magic . . . requiring the beating heart of a king. And she knows just how to obtain one: by offering her hand in marriage to the victor of the Solstasia competition. When Malik rigs his way into the contest, they are set on a course to destroy each other. But as attraction flares between them and ancient evils stir, will they be able to see their tasks to the death? The first in an fantasy duology inspired by West African folklore in which a grieving crown princess and a desperate refugee find themselves on a collision course to murder each other despite their growing attraction."
Daughters of Nri (The Return of the Earth Mother #1),Reni K. Amayo,https://www.goodreads.com/book/show/49094548-daughters-of-nri,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575493077l/49094548._SY75_.jpg,3.95,3226.0,2019.0,african-fantasy,"A gruesome war results in the old gods' departure from earth. The only remnants of their existence lie in two girls. Twins, separated at birth. Goddesses who grow up believing that they are human. Daughters Of Nri explores their epic journey of self-discovery as they embark on a path back to one another. Strong-willed Naala grows up seeking adventure in her quiet and small village. While the more reserved Sinai resides in the cold and political palace of Nri. Though miles apart, both girls share an indestructible bond: they share the same blood, the same face, and possess the same unspoken magic, thought to have vanished with the lost gods. The twin girls were separated at birth, a price paid to ensure their survival from Eze Ochichiri, the man who rules the Kingdom of Nri. Both girls are tested in ways that awaken a mystical, formidable power deep within themselves. Eventually, their paths both lead back to the mighty Eze. But can they defeat the man who brought the gods themselves to their knees?"
"Black Leopard, Red Wolf (The Dark Star Trilogy, #1)",Marlon James,https://www.goodreads.com/book/show/50608676-black-leopard-red-wolf,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579618622l/50608676._SX50_.jpg,3.45,31163.0,2019.0,african-fantasy,"In the first novel in Marlon James's Dark Star trilogy, myth, fantasy, and history come together to explore what happens when a mercenary is hired to find a missing child. Tracker is known far and wide for his skills as a hunter: ""He has a nose,"" people say. Engaged to track down a mysterious boy who disappeared three years earlier, Tracker breaks his own rule of always working alone when he finds himself part of a group that comes together to search for the boy. The band is a hodgepodge, full of unusual characters with secrets of their own, including a shape-shifting man-animal known as Leopard. Drawing from African history and mythology and his own rich imagination, Marlon James has written an adventure that's also an ambitious, involving read. Defying categorization and full of unforgettable characters, Black Leopard, Red Wolf explores the fundamentals of truths, the limits of power, the excesses of ambition, and our need to understand them all."
"Raybearer (Raybearer, #1)",Jordan Ifueko,https://www.goodreads.com/book/show/50158128-raybearer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567330635l/50158128._SX50_SY75_.jpg,4.31,32325.0,2020.0,african-fantasy,"Tarisai has always longed for the warmth of a family. She was raised in isolation by a mysterious, often absent mother known only as The Lady. The Lady sends her to the capital of the global empire of Aritsar to compete with other children to be chosen as one of the Crown Prince’s Council of 11. If she’s picked, she’ll be joined with the other Council members through the Ray, a bond deeper than blood. That closeness is irresistible to Tarisai, who has always wanted to belong somewhere. But The Lady has other ideas, including a magical wish that Tarisai is compelled to obey: Kill the Crown Prince once she gains his trust. Tarisai won’t stand by and become someone’s pawn—but is she strong enough to choose a different path for herself?"
"Skin of the Sea (Skin of the Sea, #1)",Natasha Bowen,https://www.goodreads.com/book/show/48691825-skin-of-the-sea,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1614089954l/48691825._SY75_.jpg,3.78,16727.0,2021.0,african-fantasy,"A way to survive. A way to serve. A way to save. Simi prayed to the gods, once. Now she serves them as Mami Wata—a mermaid—collecting the souls of those who die at sea and blessing their journeys back home. But when a living boy is thrown overboard, Simi goes against an ancient decree and does the unthinkable—she saves his life. And punishment awaits those who dare to defy the gods. To protect the other Mami Wata, Simi must journey to the Supreme Creator to make amends. But all is not as it seems. There’s the boy she rescued, who knows more than he should. And something is shadowing Simi, something that would rather see her fail. . . . Danger lurks at every turn, and as Simi draws closer, she must brave vengeful gods, treacherous lands, and legendary creatures. Because if she fails, she risks not only the fate of all Mami Wata, but also the world as she knows it."
