title,author,year_published,subjects,edition_count,open_library_key,queried_author,description
La naissance du maquis dans le Sud-Cameroun (Homme et Société : Histoire et géographie),Achille Mbembe,1996.0,,2,/book/show/74573817-la-naissance-du-maquis-dans-le-sud-cameroun-homme-et-soci-t,Achille Mbembe,"Cet ouvrage s'efforce de traquer les formes publiques de résistance dans le Cameroun de la première moitié du XXème siècle. Il montre comment, par le biais de pratiques multiformes allant de la soumission à la négociation en passant par l'indiscipline et la lutte armée, les Africains se constituèrent à la fois comme sujets exerçant et subissant des relations de pouvoir et comme agents moraux de leurs actions."
On the Postcolony,Achille Mbembe,2001.0,,17,/book/show/149757.On_the_Postcolony,Achille Mbembe,"Achille Mbembe is one of the most brilliant theorists of postcolonial studies writing today. In On the Postcolony he profoundly renews our understanding of power and subjectivity in Africa. In a series of provocative essays, Mbembe contests diehard Africanist and nativist perspectives as well as some of the key assumptions of postcolonial theory. This thought-provoking and groundbreaking collection of essays—his first book to be published in English—develops and extends debates first ignited by his well-known 1992 article ""Provisional Notes on the Postcolony,"" in which he developed his notion of the ""banality of power"" in contemporary Africa. Mbembe reinterprets the meanings of death, utopia, and the divine libido as part of the new theoretical perspectives he offers on the constitution of power. He works with the complex registers of bodily subjectivity — violence, wonder, and laughter — to profoundly contest categories of oppression and resistance, autonomy and subjection, and state and civil society that marked the social theory of the late twentieth century. This provocative book will surely attract attention with its signal contribution to the rich interdisciplinary arena of scholarship on colonial and postcolonial discourse, history, anthropology, philosophy, political science, psychoanalysis, and literary criticism."
Johannesburg: The Elusive Metropolis (Volume 16),Sarah Nuttall,2004.0,,5,/book/show/327816.Johannesburg,Achille Mbembe,"This issue of Public Culture attempts to overturn perceptions that frame Africa as an object apart from the rest of the world. By placing the city of Johannesburg—the preeminent metropolis of the African continent and a city facing a complicated legacy of racial strife and wealth accumulation—at the heart of new critical urban theory, The Elusive Metropolis broadens discussions of modernity, cosmopolitanism, and urban renewal to include Africa. The issue brings Johannesburg into direct dialogue with other world cities, creating a space for the interrogation and investigation of the metropolis in a properly global sense. Contributors to this issue—a mix of scholars, urban planners, and artists, many of whom hail from South Africa—reveal Johannesburg to be a polycentric and international city that has developed its own cosmopolitan culture. In a detailed study of three streets in the modern precinct of Melrose Arch, one essay shows how the thoroughly commodified and marketed Johannesburg cityscape has shaped the cultural sensitivities, aesthetics, and urban subjectivities of its inhabitants, at times even overriding the historical memory of apartheid. Another essay, focusing on the emergence of a new urban culture, examines how the city itself becomes a crucial site for the remixing and reassembling of racial identities. By tracking the movement of people with AIDS to various locations in the city to seek relief and treatment, another essay reveals an urban geography very different from what is seen from the highways. Finally, through interviews and commentaries, journalists, artists, and architects of Johannesburg offer reflections on the geography and shifting culture of the city and its townships, on the complicated relationship between Johannesburg and other African cities, and on the search for an architectural style that adequately expresses the complexity of this cosmopolitan city. Contributors. Lindsay Bremner, Nsizwa Dlamini, Mark Gevisser, Grace Khunou, Frédéric Le Marcis, John Matshikiza, Achille Mbembe, Sarah Nuttall, Rodney Place, AbdouMaliq Simone, Michael Watts"
"África Insubmissa: Cristianismo, poder e estado na sociedade pós-colonial",Achille Mbembe,2005.0,,2,/book/show/45914660-frica-insubmissa,Achille Mbembe,"Se é verdade que as independências foram consideradas como um dos principais acontecimentos da história africana contemporânea, é forçoso constatar que, hoje em dia, a sua crise de pertinência constitui uma verdadeira provocação à inteligência africana. A aparente deriva do continente negro traduz-se, na prática, na sua marginalização crescente no plano internacional, na implosão política das suas sociedades, no seu declínio económico e na sua estagnação intelectual."
Je est un autre - Pour une identité-monde,Kebir-Mustapha Ammi,2010.0,,3,/book/show/44436174-je-est-un-autre---pour-une-identit--monde,Achille Mbembe,"ŤEn 2007, nous avions fait paraître aux Éditions Gallimard un ouvrage collectif intitulé Pour une littérature-monde, oů nous rappelions que la littérature n'était pas compressible ŕ l'intérieur de frontičres. Ce livre, par son écho, a contribué ŕ faire évoluer notre perception d'une littérature de langue française outrepassant les limites de l'Hexagone. Le débat continue, sous des déguisements parfois inattendus. En cette année oů l'on veut célébrer le cinquantičme anniversaire des indépendances africaines, voilŕ que le débat, en France, se replie frileusement sur les contours d'une indentité nationale. Chaque ętre est un millefeuille, autrement dit un livre composite, qui ne peut se réduire ŕ cette fiction identitaire nationale. Je est un autre, lançait il y a longtemps un počte fameux. Et cela est encore plus vrai aujourd'hui, en une époque de fantastiques télescopages culturels, tandis que naît un monde nouveau oů chacun, au carrefour d'identités multiples, se trouve mis en demeure d'inventer pour lui-męme une identité-monde. Les romanciers qui ont appris ŕ composer avec toutes ces voix de l'intérieur, discordantes, foisonnantes, paralysantes, entraînantes, qui se moquent des langues et des frontičres, ont évidemment leur mot poétique ŕ dire.ť Michel Le Bris et Jean Rouaud."
Necropolitics,Achille Mbembe,2016.0,,24,/book/show/44901216-necropolitics,Achille Mbembe,"El nuevo capitalismo del siglo XXI se rige por la «necropolítica» y el «gobierno privado indirecto». Ahora impera una nueva concepción de la soberanía: la de aquellos actores internacionales que deciden quién debe vivir y quién debe morir en un momento dado, atendiendo a criterios estrictamente económicos. Y las nuevas guerras, en consecuencia, son actos bélicos nomádicos que realizan empresas privadas –en connivencia o no con los Estados, poco importa...– que no buscan obtener territorio ni someter a las poblaciones; tan sólo afianzar recursos estratégicos y obtener beneficios inmediatos a cualquier coste. La necropolítica ha conseguido transformar a los seres humanos en una mercancía intercambiable o desechable según dicten los mercados. Esta nueva forma de gestión de las poblaciones –quizás más evidente en el denominado tercer mundo y, en particular, en el continente africano– es un paso más respecto de la «biopolítica» enunciada por Foucault. Una nueva manera de entender la realidad en la que la vida pierde toda su densidad y se convierte en una mera moneda de cambio para unos poderes oscuros, difusos y sin escrúpulos."
Politiques de l'inimitié,Achille Mbembe,2016.0,,2,/book/show/30246397-politiques-de-l-inimiti,Achille Mbembe,"Cet essai explore cette relation particulière qui s'étend sans cesse et se reconfigure à l'échelle planétaire : la relation d'inimitié. S'appuyant en partie sur l'œuvre psychiatrique et politique de Frantz Fanon, l'auteur montre comment, dans le sillage des conflits de la décolonisation du XX e siècle, la guerre – sous la figure de la conquête et de l'occupation, de la terreur et de la contre-insurrection – est devenue le sacrement de notre époque. Cet essai explore cette relation particulière qui s'étend sans cesse et se reconfigure à l'échelle planétaire : la relation d'inimitié. S'appuyant en partie sur l'œuvre psychiatrique et politique de Frantz Fanon, l'auteur montre comment, dans le sillage des conflits de la décolonisation du XXe siècle, la guerre – sous la figure de la conquête et de l'occupation, de la terreur et de la contre-insurrection – est devenue le sacrement de notre époque. Cette transformation a, en retour, libéré des mouvements passionnels qui, petit à petit, poussent les démocraties libérales à endosser les habits de l'exception, à entreprendre au loin des actions inconditionnées, et à vouloir exercer la dictature contre elles-mêmes et contre leurs ennemis. Dans cet essai brillant et brûlant d'actualité, Achille Mbembe s'interroge, entre autres, sur les conséquences de cette inversion, et sur les termes nouveaux dans lesquels se pose désormais la question des rapports entre la violence et la loi, la norme et l'exception, l'état de guerre, l'état de sécurité et l'état de liberté. Dans le contexte de rétrécissement du monde et de son repeuplement à la faveur des nouveaux mouvements migratoires, l'essai n'ouvre pas seulement des pistes neuves pour une critique des nationalismes ataviques. Il pose également, par-delà l'humanisme, les fondements d'une politique de l'humanité."
Brutalisme,Achille Mbembe,2020.0,,18,/book/show/51131710-brutalisme,Achille Mbembe,"Toutes les sphères de l’existence sont désormais pénétrées par le capital, et la mise en ordre des sociétés humaines s’effectue dorénavant selon une seule et même directive, celle de la computation numérique. Mais alors que tout pousse vers une unification sans précédent de la planète, le vieux monde des corps et des distances, de la matière et des étendues, des espaces et des frontières, persiste en se métamorphosant. Cette transformation de l’horizon du calcul se conjugue paradoxalement avec un retour spectaculaire de l’animisme, qui s’exprime non sur le modèle du culte des ancêtres, mais du culte de soi et de nos multiples doubles que sont les objets. Avec le devenir-artificiel de l’humanité et son pendant, le devenir-humain des machines, une sorte d’épreuve existentielle est donc engagée. L’être ne s’éprouve plus désormais qu’en tant qu’assemblage indissociablement humain et non humain. La transformation de la force en dernier mot de la vérité de l’être signe l’entrée dans le dernier âge de l’homme, celui de l’être fabricable dans un monde fabriqué. À cet âge, Achille Mbembe donne ici le nom de brutalisme, le grand fardeau de fer de notre époque, le poids des matières brutes. La transformation de l’humanité en matière et énergie est le projet ultime du brutalisme. En détaillant la monumentalité et le gigantisme d’un tel projet, cet essai plaide en faveur d’une refondation de la communauté des humains en solidarité avec l’ensemble du vivant, qui n’adviendra cependant qu’à condition de réparer ce qui a été brisé."
The Earthly Community: Reflections on the Last Utopia,Achille Mbembe,2023.0,,15,/book/show/211097016-the-earthly-community,Achille Mbembe,"In The Earthly Community: Reflections on the Last Utopia Achille Mbembe explores what remains of the human subject in an age when the instrumentality of reason is carried out by and through information machines and technologies of calculation. Mbembe discusses who will define the threshold or set the boundary that distinguishes between the calculable and the incalculable, between that which is deemed worthy and that which is deemed worthless, and therefore dispensable. He asks whether we can turn these new instruments of calculation and power into instruments of liberation. In other words, will we be able to invent different modes of measuring that might open up the possibility of a different aesthetics, a different politics of inhabiting the Earth, of repairing and sharing the planet? Achille Mbembe is Research Professor in History and Politics at the Wits Institute for Social and Economy Research, University of the Witwatersrand, Johannesburg. He is the author of a.o. Critique of Black Reason (2016), Necropolitics (2019) and Brutalisme."
Critique of Black Reason,Achille Mbembe,,,25,/book/show/30757980-critique-of-black-reason,Achille Mbembe,"In Critique of Black Reason eminent critic Achille Mbembe offers a capacious genealogy of the category of Blackness—from the Atlantic slave trade to the present—to critically reevaluate history, racism, and the future of humanity. Mbembe teases out the intellectual consequences of the reality that Europe is no longer the world's center of gravity while mapping the relations among colonialism, slavery, and contemporary financial and extractive capital. Tracing the conjunction of Blackness with the biological fiction of race, he theorizes Black reason as the collection of discourses and practices that equated Blackness with the nonhuman in order to uphold forms of oppression. Mbembe powerfully argues that this equation of Blackness with the nonhuman will serve as the template for all new forms of exclusion. With Critique of Black Reason , Mbembe offers nothing less than a map of the world as it has been constituted through colonialism and racial thinking while providing the first glimpses of a more just future."
